Year,Month,Temperature,Precipitation
1994,1,29.2,1.6
1994,2,29.0,0.2
1994,3,30.3,3.8
1994,4,26.8,4.2
1994,5,22.8,93.4
1994,6,18.6,203.4
1994,7,18.6,167.4
1994,8,19.5,164.2
1994,9,21.5,79.2
1994,10,22.9,15.8
1994,11,27.0,6.6
1994,12,29.8,0.0
1995,1,31.3,0.0
1995,2,31.5,12.0
1995,3,30.9,20.0
1995,4,24.9,10.8
1995,5,20.9,138.6
1995,6,17.9,150.0
1995,7,18.0,278.6
1995,8,19.1,83.8
1995,9,20.5,83.8
1995,10,23.6,92.0
1995,11,24.4,32.2
1995,12,27.7,3.0
1996,1,30.3,3.2
1996,2,34.6,0.0
1996,3,28.0,9.2
1996,4,25.8,27.0
1996,5,23.1,50.6
1996,6,19.4,221.4
1996,7,18.1,210.8
1996,8,18.2,123.6
1996,9,19.5,127.6
1996,10,23.5,44.0
1996,11,25.4,50.6
1996,12,27.2,20.6
1997,1,32.2,0.6
1997,2,31.2,3.6
1997,3,27.5,53.8
1997,4,25.6,38.6
1997,5,20.6,82.6
1997,6,19.6,104.8
1997,7,18.5,137.6
1997,8,18.4,119.2
1997,9,20.2,109.2
1997,10,23.5,41.6
1997,11,25.6,7.8
1997,12,30.0,0.0
1998,1,31.1,1.8
1998,2,31.2,0.0
1998,3,30.6,43.0
1998,4,24.9,15.2
1998,5,23.7,93.4
1998,6,18.4,143.0
1998,7,16.7,118.6
1998,8,19.4,153.2
1998,9,19.1,97.4
1998,10,22.5,38.2
1998,11,26.2,26.2
1998,12,29.1,12.6
1999,1,30.4,48.2
1999,2,32.3,0.0
1999,3,27.8,28.6
1999,4,28.2,30.2
1999,5,21.9,99.6
1999,6,19.6,116.0
1999,7,19.0,118.2
1999,8,18.8,167.4
1999,9,20.0,105.8
1999,10,21.9,96.4
1999,11,27.0,4.4
1999,12,31.4,7.2
2000,1,30.4,139.0
2000,2,31.2,0.0
2000,3,28.8,22.2
2000,4,25.7,32.6
2000,5,22.2,26.4
2000,6,19.9,123.2
2000,7,18.1,231.0
2000,8,17.7,143.0
2000,9,20.7,49.6
2000,10,24.0,5.2
2000,11,26.4,23.6
2000,12,30.1,0.4
2001,1,29.9,2.4
2001,2,30.2,7.0
2001,3,29.3,2.8
2001,4,26.5,7.4
2001,5,21.4,108.6
2001,6,20.1,71.6
2001,7,18.8,182.6
2001,8,18.5,128.0
2001,9,19.6,115.2
2001,10,22.0,32.8
2001,11,27.4,25.4
2001,12,26.6,4.8
2002,1,30.6,18.4
2002,2,30.7,8.2
2002,3,29.1,2.6
2002,4,24.8,96.0
2002,5,22.9,70.4
2002,6,19.2,183.8
2002,7,18.7,119.8
2002,8,18.6,81.2
2002,9,19.9,85.6
2002,10,22.3,42.2
2002,11,26.6,25.8
2002,12,30.4,3.8
2003,1,30.9,1.4
2003,2,30.6,11.0
2003,3,30.1,61.4
2003,4,25.6,49.0
2003,5,24.0,92.6
2003,6,19.1,173.4
2003,7,17.8,146.0
2003,8,18.2,145.0
2003,9,19.8,102.0
2003,10,22.2,48.4
2003,11,27.6,17.8
2003,12,28.3,5.6
2004,1,31.0,0.0
2004,2,32.0,2.0
2004,3,29.1,0.0
2004,4,26.8,12.0
2004,5,21.3,103.2
2004,6,19.8,123.2
2004,7,18.0,112.6
2004,8,17.6,175.6
2004,9,20.1,35.2
2004,10,22.8,37.8
2004,11,25.4,32.8
2004,12,30.0,2.6
2005,1,30.0,0.0
2005,2,30.0,3.0
2005,3,30.5,52.2
2005,4,24.7,27.8
2005,5,23.3,191.2
2005,6,18.0,251.0
2005,7,18.6,62.8
2005,8,18.4,124.6
2005,9,19.2,91.0
2005,10,20.7,52.8
2005,11,24.9,13.4
2005,12,23.7,5.0
2006,1,28.8,28.4
2006,2,31.4,20.6
2006,3,30.1,4.6
2006,4,23.3,25.4
2006,5,22.4,31.0
2006,6,20.3,24.6
2006,7,18.8,81.0
2006,8,20.2,124.8
2006,9,20.6,86.4
2006,10,24.1,18.6
2006,11,27.4,16.2
2006,12,30.4,5.2
2007,1,29.1,19.2
2007,2,30.1,3.4
2007,3,30.2,6.2
2007,4,25.2,76.4
2007,5,21.1,61.4
2007,6,19.9,60.0
2007,7,19.5,179.4
2007,8,19.0,130.8
2007,9,20.2,100.6
2007,10,22.8,42.4
2007,11,28.5,5.2
2007,12,27.7,18.0
2008,1,32.8,0.0
2008,2,32.5,47.6
2008,3,29.4,14.2
2008,4,24.2,153.6
2008,5,22.6,59.6
2008,6,19.7,142.0
2008,7,17.9,179.4
2008,8,19.8,27.8
2008,9,20.4,75.8
2008,10,24.0,38.4
2008,11,23.6,57.8
2008,12,27.8,11.6
2009,1,32.5,0.2
2009,2,31.8,8.2
2009,3,29.0,6.8
2009,4,27.6,5.0
2009,5,24.4,46.0
2009,6,18.8,156.2
2009,7,17.8,148.6
2009,8,18.9,111.0
2009,9,18.6,80.2
2009,10,23.3,6.8
2009,11,26.5,38.2
2009,12,30.8,0.0
2010,1,33.4,0.0
2010,2,31.7,0.2
2010,3,30.2,40.4
2010,4,25.0,25.0
2010,5,21.7,88.6
2010,6,19.0,51.4
2010,7,18.2,142.0
2010,8,19.1,63.0
2010,9,21.8,43.6
2010,10,24.6,20.6
2010,11,29.6,11.6
2010,12,29.3,17.4
2011,1,32.5,30.2
2011,2,34.2,0.4
2011,3,31.9,0.0
2011,4,27.3,19.4
2011,5,23.2,85.0
2011,6,19.5,171.4
2011,7,18.3,161.0
2011,8,20.2,115.2
2011,9,20.5,109.2
2011,10,24.5,64.2
2011,11,25.9,29.0
2011,12,30.5,75.8
2012,1,33.5,18.8
2012,2,31.1,23.6
2012,3,31.4,0.2
2012,4,26.4,69.2
2012,5,23.1,49.0
2012,6,19.6,140.8
2012,7,19.4,34.6
2012,8,20.1,87.2
2012,9,21.5,90.8
2012,10,25.0,15.6
2012,11,25.9,58.2
2012,12,31.2,20.2
2013,1,31.7,7.2
2013,2,34.1,0.8
2013,3,28.0,69.6
2013,4,28.5,21.0
2013,5,21.5,138.2
2013,6,19.9,44.0
2013,7,18.8,140.0
2013,8,20.4,167.4
2013,9,20.2,144.2
2013,10,23.9,38.0
2013,11,29.1,10.2
2013,12,30.5,1.8
2014,1,32.2,0.2
2014,2,33.2,0.0
2014,3,30.3,7.4
2014,4,26.5,24.6
2014,5,21.4,152.6
2014,6,19.6,93.6
2014,7,18.5,151.2
2014,8,21.6,107.0
2014,9,22.0,77.0
2014,10,24.5,37.0
