Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,9225,1993,2,27.6,Y
IDCJAC0001,9225,1993,3,5.8,Y
IDCJAC0001,9225,1993,4,14.6,Y
IDCJAC0001,9225,1993,5,129.6,Y
IDCJAC0001,9225,1993,6,64.4,Y
IDCJAC0001,9225,1993,7,123.2,Y
IDCJAC0001,9225,1993,8,158.4,Y
IDCJAC0001,9225,1993,9,82.7,Y
IDCJAC0001,9225,1993,11,7,Y
IDCJAC0001,9225,1993,12,2.4,Y
IDCJAC0001,9225,1994,1,1.6,Y
IDCJAC0001,9225,1994,2,0.2,Y
IDCJAC0001,9225,1994,3,3.8,Y
IDCJAC0001,9225,1994,4,4.2,Y
IDCJAC0001,9225,1994,5,93.4,Y
IDCJAC0001,9225,1994,6,203.4,Y
IDCJAC0001,9225,1994,7,167.4,Y
IDCJAC0001,9225,1994,8,164.2,Y
IDCJAC0001,9225,1994,9,79.2,Y
IDCJAC0001,9225,1994,10,15.8,Y
IDCJAC0001,9225,1994,11,6.6,Y
IDCJAC0001,9225,1994,12,0,Y
IDCJAC0001,9225,1995,1,0,Y
IDCJAC0001,9225,1995,2,12,Y
IDCJAC0001,9225,1995,3,20,Y
IDCJAC0001,9225,1995,4,10.8,Y
IDCJAC0001,9225,1995,5,138.6,Y
IDCJAC0001,9225,1995,6,150,Y
IDCJAC0001,9225,1995,7,278.6,Y
IDCJAC0001,9225,1995,8,83.8,Y
IDCJAC0001,9225,1995,9,83.8,Y
IDCJAC0001,9225,1995,10,92,Y
IDCJAC0001,9225,1995,11,32.2,Y
IDCJAC0001,9225,1995,12,3,Y
IDCJAC0001,9225,1996,1,3.2,Y
IDCJAC0001,9225,1996,2,0,Y
IDCJAC0001,9225,1996,3,9.2,Y
IDCJAC0001,9225,1996,4,27,Y
IDCJAC0001,9225,1996,5,50.6,Y
IDCJAC0001,9225,1996,6,221.4,Y
IDCJAC0001,9225,1996,7,210.8,Y
IDCJAC0001,9225,1996,8,123.6,Y
IDCJAC0001,9225,1996,9,127.6,Y
IDCJAC0001,9225,1996,10,44,Y
IDCJAC0001,9225,1996,11,50.6,Y
IDCJAC0001,9225,1996,12,20.6,Y
IDCJAC0001,9225,1997,1,0.6,Y
IDCJAC0001,9225,1997,2,3.6,Y
IDCJAC0001,9225,1997,3,53.8,Y
IDCJAC0001,9225,1997,4,38.6,Y
IDCJAC0001,9225,1997,5,82.6,Y
IDCJAC0001,9225,1997,6,104.8,Y
IDCJAC0001,9225,1997,7,137.6,Y
IDCJAC0001,9225,1997,8,119.2,Y
IDCJAC0001,9225,1997,9,109.2,Y
IDCJAC0001,9225,1997,10,41.6,Y
IDCJAC0001,9225,1997,11,7.8,Y
IDCJAC0001,9225,1997,12,0,Y
IDCJAC0001,9225,1998,1,1.8,Y
IDCJAC0001,9225,1998,2,0,Y
IDCJAC0001,9225,1998,3,43,Y
IDCJAC0001,9225,1998,4,15.2,Y
IDCJAC0001,9225,1998,5,93.4,Y
IDCJAC0001,9225,1998,6,143,Y
IDCJAC0001,9225,1998,7,118.6,Y
IDCJAC0001,9225,1998,8,153.2,Y
IDCJAC0001,9225,1998,9,97.4,Y
IDCJAC0001,9225,1998,10,38.2,Y
IDCJAC0001,9225,1998,11,26.2,Y
IDCJAC0001,9225,1998,12,12.6,Y
IDCJAC0001,9225,1999,1,48.2,Y
IDCJAC0001,9225,1999,2,0,Y
IDCJAC0001,9225,1999,3,28.6,Y
IDCJAC0001,9225,1999,4,30.2,Y
IDCJAC0001,9225,1999,5,99.6,Y
IDCJAC0001,9225,1999,6,116,Y
IDCJAC0001,9225,1999,7,118.2,Y
IDCJAC0001,9225,1999,8,167.4,Y
IDCJAC0001,9225,1999,9,105.8,Y
IDCJAC0001,9225,1999,10,96.4,Y
IDCJAC0001,9225,1999,11,4.4,Y
IDCJAC0001,9225,1999,12,7.2,Y
IDCJAC0001,9225,2000,1,139,Y
IDCJAC0001,9225,2000,2,0,Y
IDCJAC0001,9225,2000,3,22.2,Y
IDCJAC0001,9225,2000,4,32.6,Y
IDCJAC0001,9225,2000,5,26.4,Y
IDCJAC0001,9225,2000,6,123.2,Y
IDCJAC0001,9225,2000,7,231,Y
IDCJAC0001,9225,2000,8,143,Y
IDCJAC0001,9225,2000,9,49.6,Y
IDCJAC0001,9225,2000,10,5.2,Y
IDCJAC0001,9225,2000,11,23.6,Y
IDCJAC0001,9225,2000,12,0.4,Y
IDCJAC0001,9225,2001,1,2.4,Y
IDCJAC0001,9225,2001,2,7,Y
IDCJAC0001,9225,2001,3,2.8,Y
IDCJAC0001,9225,2001,4,7.4,Y
IDCJAC0001,9225,2001,5,108.6,Y
IDCJAC0001,9225,2001,6,71.6,Y
IDCJAC0001,9225,2001,7,182.6,Y
IDCJAC0001,9225,2001,8,128,Y
IDCJAC0001,9225,2001,9,115.2,Y
IDCJAC0001,9225,2001,10,32.8,Y
IDCJAC0001,9225,2001,11,25.4,Y
IDCJAC0001,9225,2001,12,4.8,Y
IDCJAC0001,9225,2002,1,18.4,Y
IDCJAC0001,9225,2002,2,8.2,Y
IDCJAC0001,9225,2002,3,2.6,Y
IDCJAC0001,9225,2002,4,96,Y
IDCJAC0001,9225,2002,5,70.4,Y
IDCJAC0001,9225,2002,6,183.8,Y
IDCJAC0001,9225,2002,7,119.8,Y
IDCJAC0001,9225,2002,8,81.2,Y
IDCJAC0001,9225,2002,9,85.6,Y
IDCJAC0001,9225,2002,10,42.2,Y
IDCJAC0001,9225,2002,11,25.8,Y
IDCJAC0001,9225,2002,12,3.8,Y
IDCJAC0001,9225,2003,1,1.4,Y
IDCJAC0001,9225,2003,2,11,Y
IDCJAC0001,9225,2003,3,61.4,Y
IDCJAC0001,9225,2003,4,49,Y
IDCJAC0001,9225,2003,5,92.6,Y
IDCJAC0001,9225,2003,6,173.4,Y
IDCJAC0001,9225,2003,7,146,Y
IDCJAC0001,9225,2003,8,145,Y
IDCJAC0001,9225,2003,9,102,Y
IDCJAC0001,9225,2003,10,48.4,Y
IDCJAC0001,9225,2003,11,17.8,Y
IDCJAC0001,9225,2003,12,5.6,Y
IDCJAC0001,9225,2004,1,0,Y
IDCJAC0001,9225,2004,2,2,Y
IDCJAC0001,9225,2004,3,0,Y
IDCJAC0001,9225,2004,4,12,Y
IDCJAC0001,9225,2004,5,103.2,Y
IDCJAC0001,9225,2004,6,123.2,Y
IDCJAC0001,9225,2004,7,112.6,Y
IDCJAC0001,9225,2004,8,175.6,Y
IDCJAC0001,9225,2004,9,35.2,Y
IDCJAC0001,9225,2004,10,37.8,Y
IDCJAC0001,9225,2004,11,32.8,Y
IDCJAC0001,9225,2004,12,2.6,Y
IDCJAC0001,9225,2005,1,0,Y
IDCJAC0001,9225,2005,2,3,Y
IDCJAC0001,9225,2005,3,52.2,Y
IDCJAC0001,9225,2005,4,27.8,Y
IDCJAC0001,9225,2005,5,191.2,Y
IDCJAC0001,9225,2005,6,251,Y
IDCJAC0001,9225,2005,7,62.8,Y
IDCJAC0001,9225,2005,8,124.6,Y
IDCJAC0001,9225,2005,9,91,Y
IDCJAC0001,9225,2005,10,52.8,Y
IDCJAC0001,9225,2005,11,13.4,Y
IDCJAC0001,9225,2005,12,5,Y
IDCJAC0001,9225,2006,1,28.4,Y
IDCJAC0001,9225,2006,2,20.6,Y
IDCJAC0001,9225,2006,3,4.6,Y
IDCJAC0001,9225,2006,4,25.4,Y
IDCJAC0001,9225,2006,5,31,Y
IDCJAC0001,9225,2006,6,24.6,Y
IDCJAC0001,9225,2006,7,81,Y
IDCJAC0001,9225,2006,8,124.8,Y
IDCJAC0001,9225,2006,9,86.4,Y
IDCJAC0001,9225,2006,10,18.6,Y
IDCJAC0001,9225,2006,11,16.2,Y
IDCJAC0001,9225,2006,12,5.2,Y
IDCJAC0001,9225,2007,1,19.2,Y
IDCJAC0001,9225,2007,2,3.4,Y
IDCJAC0001,9225,2007,3,6.2,Y
