Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,9225,1994,1,29.2,Y
IDCJAC0002,9225,1994,2,29,Y
IDCJAC0002,9225,1994,3,30.3,Y
IDCJAC0002,9225,1994,4,26.8,Y
IDCJAC0002,9225,1994,5,22.8,Y
IDCJAC0002,9225,1994,6,18.6,Y
IDCJAC0002,9225,1994,7,18.6,Y
IDCJAC0002,9225,1994,8,19.5,Y
IDCJAC0002,9225,1994,9,21.5,Y
IDCJAC0002,9225,1994,10,22.9,Y
IDCJAC0002,9225,1994,11,27,Y
IDCJAC0002,9225,1994,12,29.8,Y
IDCJAC0002,9225,1995,1,31.3,Y
IDCJAC0002,9225,1995,2,31.5,Y
IDCJAC0002,9225,1995,3,30.9,Y
IDCJAC0002,9225,1995,4,24.9,Y
IDCJAC0002,9225,1995,5,20.9,Y
IDCJAC0002,9225,1995,6,17.9,Y
IDCJAC0002,9225,1995,7,18,Y
IDCJAC0002,9225,1995,8,19.1,Y
IDCJAC0002,9225,1995,9,20.5,Y
IDCJAC0002,9225,1995,10,23.6,Y
IDCJAC0002,9225,1995,11,24.4,Y
IDCJAC0002,9225,1995,12,27.7,Y
IDCJAC0002,9225,1996,1,30.3,Y
IDCJAC0002,9225,1996,2,34.6,Y
IDCJAC0002,9225,1996,3,28,Y
IDCJAC0002,9225,1996,4,25.8,Y
IDCJAC0002,9225,1996,5,23.1,Y
IDCJAC0002,9225,1996,6,19.4,Y
IDCJAC0002,9225,1996,7,18.1,Y
IDCJAC0002,9225,1996,8,18.2,Y
IDCJAC0002,9225,1996,9,19.5,Y
IDCJAC0002,9225,1996,10,23.5,Y
IDCJAC0002,9225,1996,11,25.4,Y
IDCJAC0002,9225,1996,12,27.2,Y
IDCJAC0002,9225,1997,1,32.2,Y
IDCJAC0002,9225,1997,2,31.2,Y
IDCJAC0002,9225,1997,3,27.5,Y
IDCJAC0002,9225,1997,4,25.6,Y
IDCJAC0002,9225,1997,5,20.6,Y
IDCJAC0002,9225,1997,6,19.6,Y
IDCJAC0002,9225,1997,7,18.5,Y
IDCJAC0002,9225,1997,8,18.4,Y
IDCJAC0002,9225,1997,9,20.2,Y
IDCJAC0002,9225,1997,10,23.5,Y
IDCJAC0002,9225,1997,11,25.6,Y
IDCJAC0002,9225,1997,12,30,Y
IDCJAC0002,9225,1998,1,31.1,Y
IDCJAC0002,9225,1998,2,31.2,Y
IDCJAC0002,9225,1998,3,30.6,Y
IDCJAC0002,9225,1998,4,24.9,Y
IDCJAC0002,9225,1998,5,23.7,Y
IDCJAC0002,9225,1998,6,18.4,Y
IDCJAC0002,9225,1998,7,16.7,Y
IDCJAC0002,9225,1998,8,19.4,Y
IDCJAC0002,9225,1998,9,19.1,Y
IDCJAC0002,9225,1998,10,22.5,Y
IDCJAC0002,9225,1998,11,26.2,Y
IDCJAC0002,9225,1998,12,29.1,Y
IDCJAC0002,9225,1999,1,30.4,Y
IDCJAC0002,9225,1999,2,32.3,Y
IDCJAC0002,9225,1999,3,27.8,Y
IDCJAC0002,9225,1999,4,28.2,Y
IDCJAC0002,9225,1999,5,21.9,Y
IDCJAC0002,9225,1999,6,19.6,Y
IDCJAC0002,9225,1999,7,19,Y
IDCJAC0002,9225,1999,8,18.8,Y
IDCJAC0002,9225,1999,9,20,Y
IDCJAC0002,9225,1999,10,21.9,Y
IDCJAC0002,9225,1999,11,27,Y
IDCJAC0002,9225,1999,12,31.4,Y
IDCJAC0002,9225,2000,1,30.4,Y
IDCJAC0002,9225,2000,2,31.2,Y
IDCJAC0002,9225,2000,3,28.8,Y
IDCJAC0002,9225,2000,4,25.7,Y
IDCJAC0002,9225,2000,5,22.2,Y
IDCJAC0002,9225,2000,6,19.9,Y
IDCJAC0002,9225,2000,7,18.1,Y
IDCJAC0002,9225,2000,8,17.7,Y
IDCJAC0002,9225,2000,9,20.7,Y
IDCJAC0002,9225,2000,10,24,Y
IDCJAC0002,9225,2000,11,26.4,Y
IDCJAC0002,9225,2000,12,30.1,Y
IDCJAC0002,9225,2001,1,29.9,Y
IDCJAC0002,9225,2001,2,30.2,Y
IDCJAC0002,9225,2001,3,29.3,Y
IDCJAC0002,9225,2001,4,26.5,Y
IDCJAC0002,9225,2001,5,21.4,Y
IDCJAC0002,9225,2001,6,20.1,Y
IDCJAC0002,9225,2001,7,18.8,Y
IDCJAC0002,9225,2001,8,18.5,Y
IDCJAC0002,9225,2001,9,19.6,Y
IDCJAC0002,9225,2001,10,22,Y
IDCJAC0002,9225,2001,11,27.4,Y
IDCJAC0002,9225,2001,12,26.6,Y
IDCJAC0002,9225,2002,1,30.6,Y
IDCJAC0002,9225,2002,2,30.7,Y
IDCJAC0002,9225,2002,3,29.1,Y
IDCJAC0002,9225,2002,4,24.8,Y
IDCJAC0002,9225,2002,5,22.9,Y
IDCJAC0002,9225,2002,6,19.2,Y
IDCJAC0002,9225,2002,7,18.7,Y
IDCJAC0002,9225,2002,8,18.6,Y
IDCJAC0002,9225,2002,9,19.9,Y
IDCJAC0002,9225,2002,10,22.3,Y
IDCJAC0002,9225,2002,11,26.6,Y
IDCJAC0002,9225,2002,12,30.4,Y
IDCJAC0002,9225,2003,1,30.9,Y
IDCJAC0002,9225,2003,2,30.6,Y
IDCJAC0002,9225,2003,3,30.1,Y
IDCJAC0002,9225,2003,4,25.6,Y
IDCJAC0002,9225,2003,5,24,Y
IDCJAC0002,9225,2003,6,19.1,Y
IDCJAC0002,9225,2003,7,17.8,Y
IDCJAC0002,9225,2003,8,18.2,Y
IDCJAC0002,9225,2003,9,19.8,Y
IDCJAC0002,9225,2003,10,22.2,Y
IDCJAC0002,9225,2003,11,27.6,Y
IDCJAC0002,9225,2003,12,28.3,Y
IDCJAC0002,9225,2004,1,31,Y
IDCJAC0002,9225,2004,2,32,Y
IDCJAC0002,9225,2004,3,29.1,Y
IDCJAC0002,9225,2004,4,26.8,Y
IDCJAC0002,9225,2004,5,21.3,Y
IDCJAC0002,9225,2004,6,19.8,Y
IDCJAC0002,9225,2004,7,18,Y
IDCJAC0002,9225,2004,8,17.6,Y
IDCJAC0002,9225,2004,9,20.1,Y
IDCJAC0002,9225,2004,10,22.8,Y
IDCJAC0002,9225,2004,11,25.4,Y
IDCJAC0002,9225,2004,12,30,Y
IDCJAC0002,9225,2005,1,30,Y
IDCJAC0002,9225,2005,2,30,Y
IDCJAC0002,9225,2005,3,30.5,Y
IDCJAC0002,9225,2005,4,24.7,Y
IDCJAC0002,9225,2005,5,23.3,Y
IDCJAC0002,9225,2005,6,18,Y
IDCJAC0002,9225,2005,7,18.6,Y
IDCJAC0002,9225,2005,8,18.4,Y
IDCJAC0002,9225,2005,9,19.2,Y
IDCJAC0002,9225,2005,10,20.7,Y
IDCJAC0002,9225,2005,11,24.9,Y
IDCJAC0002,9225,2005,12,23.7,Y
IDCJAC0002,9225,2006,1,28.8,Y
IDCJAC0002,9225,2006,2,31.4,Y
IDCJAC0002,9225,2006,3,30.1,Y
IDCJAC0002,9225,2006,4,23.3,Y
IDCJAC0002,9225,2006,5,22.4,Y
IDCJAC0002,9225,2006,6,20.3,Y
IDCJAC0002,9225,2006,7,18.8,Y
IDCJAC0002,9225,2006,8,20.2,Y
IDCJAC0002,9225,2006,9,20.6,Y
IDCJAC0002,9225,2006,10,24.1,Y
IDCJAC0002,9225,2006,11,27.4,Y
IDCJAC0002,9225,2006,12,30.4,Y
IDCJAC0002,9225,2007,1,29.1,Y
IDCJAC0002,9225,2007,2,30.1,Y
IDCJAC0002,9225,2007,3,30.2,Y
IDCJAC0002,9225,2007,4,25.2,Y
IDCJAC0002,9225,2007,5,21.1,Y
IDCJAC0002,9225,2007,6,19.9,Y
IDCJAC0002,9225,2007,7,19.5,Y
IDCJAC0002,9225,2007,8,19,Y
IDCJAC0002,9225,2007,9,20.2,Y
IDCJAC0002,9225,2007,10,22.8,Y
IDCJAC0002,9225,2007,11,28.5,Y
IDCJAC0002,9225,2007,12,27.7,Y
IDCJAC0002,9225,2008,1,32.8,Y
IDCJAC0002,9225,2008,2,32.5,Y
IDCJAC0002,9225,2008,3,29.4,Y
IDCJAC0002,9225,2008,4,24.2,Y
IDCJAC0002,9225,2008,5,22.6,Y
IDCJAC0002,9225,2008,6,19.7,Y
IDCJAC0002,9225,2008,7,17.9,Y
IDCJAC0002,9225,2008,8,19.8,Y
IDCJAC0002,9225,2008,9,20.4,Y
IDCJAC0002,9225,2008,10,24,Y
IDCJAC0002,9225,2008,11,23.6,Y
IDCJAC0002,9225,2008,12,27.8,Y
IDCJAC0002,9225,2009,1,32.5,Y
IDCJAC0002,9225,2009,2,31.8,Y
IDCJAC0002,9225,2009,3,29,Y
IDCJAC0002,9225,2009,4,27.6,Y
IDCJAC0002,9225,2009,5,24.4,Y
IDCJAC0002,9225,2009,6,18.8,Y
IDCJAC0002,9225,2009,7,17.8,Y
IDCJAC0002,9225,2009,8,18.9,Y
IDCJAC0002,9225,2009,9,18.6,Y
IDCJAC0002,9225,2009,10,23.3,Y
IDCJAC0002,9225,2009,11,26.5,Y
IDCJAC0002,9225,2009,12,30.8,Y
IDCJAC0002,9225,2010,1,33.4,Y
IDCJAC0002,9225,2010,2,31.7,Y
IDCJAC0002,9225,2010,3,30.2,Y
IDCJAC0002,9225,2010,4,25,Y
IDCJAC0002,9225,2010,5,21.7,Y
IDCJAC0002,9225,2010,6,19,Y
IDCJAC0002,9225,2010,7,18.2,Y
IDCJAC0002,9225,2010,8,19.1,Y
IDCJAC0002,9225,2010,9,21.8,Y
IDCJAC0002,9225,2010,10,24.6,Y
IDCJAC0002,9225,2010,11,29.6,Y
IDCJAC0002,9225,2010,12,29.3,Y
IDCJAC0002,9225,2011,1,32.5,Y
IDCJAC0002,9225,2011,2,34.2,Y
IDCJAC0002,9225,2011,3,31.9,Y
IDCJAC0002,9225,2011,4,27.3,Y
IDCJAC0002,9225,2011,5,23.2,Y
IDCJAC0002,9225,2011,6,19.5,Y
IDCJAC0002,9225,2011,7,18.3,Y
IDCJAC0002,9225,2011,8,20.2,Y
IDCJAC0002,9225,2011,9,20.5,Y
IDCJAC0002,9225,2011,10,24.5,Y
IDCJAC0002,9225,2011,11,25.9,Y
IDCJAC0002,9225,2011,12,30.5,Y
IDCJAC0002,9225,2012,1,33.5,Y
IDCJAC0002,9225,2012,2,31.1,Y
IDCJAC0002,9225,2012,3,31.4,Y
IDCJAC0002,9225,2012,4,26.4,Y
IDCJAC0002,9225,2012,5,23.1,Y
IDCJAC0002,9225,2012,6,19.6,Y
IDCJAC0002,9225,2012,7,19.4,Y
IDCJAC0002,9225,2012,8,20.1,Y
IDCJAC0002,9225,2012,9,21.5,Y
IDCJAC0002,9225,2012,10,25,Y
IDCJAC0002,9225,2012,11,25.9,Y
IDCJAC0002,9225,2012,12,31.2,Y
IDCJAC0002,9225,2013,1,31.7,Y
IDCJAC0002,9225,2013,2,34.1,Y
IDCJAC0002,9225,2013,3,28,Y
IDCJAC0002,9225,2013,4,28.5,Y
IDCJAC0002,9225,2013,5,21.5,Y
IDCJAC0002,9225,2013,6,19.9,Y
IDCJAC0002,9225,2013,7,18.8,Y
IDCJAC0002,9225,2013,8,20.4,Y
IDCJAC0002,9225,2013,9,20.2,Y
IDCJAC0002,9225,2013,10,23.9,Y
IDCJAC0002,9225,2013,11,29.1,Y
IDCJAC0002,9225,2013,12,30.5,Y
IDCJAC0002,9225,2014,1,32.2,Y
IDCJAC0002,9225,2014,2,33.2,Y
IDCJAC0002,9225,2014,3,30.3,Y
IDCJAC0002,9225,2014,4,26.5,Y
IDCJAC0002,9225,2014,5,21.4,Y
IDCJAC0002,9225,2014,6,19.6,Y
IDCJAC0002,9225,2014,7,18.5,Y
IDCJAC0002,9225,2014,8,21.6,Y
IDCJAC0002,9225,2014,9,22,Y
IDCJAC0002,9225,2014,10,24.5,Y
IDCJAC0002,9225,2014,11,26.2,Y
IDCJAC0002,9225,2014,12,28.9,Y
IDCJAC0002,9225,2015,1,33,Y
IDCJAC0002,9225,2015,2,32.3,Y
IDCJAC0002,9225,2015,3,29.5,Y
IDCJAC0002,9225,2015,4,25.4,Y
IDCJAC0002,9225,2015,5,21.3,Y
IDCJAC0002,9225,2015,6,21,Y
IDCJAC0002,9225,2015,7,18.7,Y
IDCJAC0002,9225,2015,8,19.3,Y
IDCJAC0002,9225,2015,9,22.5,Y
IDCJAC0002,9225,2015,10,26.8,Y
IDCJAC0002,9225,2015,11,28.4,Y
IDCJAC0002,9225,2015,12,29.4,Y
IDCJAC0002,9225,2016,1,32,Y
IDCJAC0002,9225,2016,2,32.2,Y
IDCJAC0002,9225,2016,3,29.6,Y
IDCJAC0002,9225,2016,4,25,Y
IDCJAC0002,9225,2016,5,20.8,Y
IDCJAC0002,9225,2016,6,18.6,Y
IDCJAC0002,9225,2016,7,17.7,Y
IDCJAC0002,9225,2016,8,17.7,Y
IDCJAC0002,9225,2016,9,18.5,Y
IDCJAC0002,9225,2016,10,21.8,Y
IDCJAC0002,9225,2016,11,27.7,Y
IDCJAC0002,9225,2016,12,28.4,Y
IDCJAC0002,9225,2017,1,31,Y
IDCJAC0002,9225,2017,2,30.1,Y
IDCJAC0002,9225,2017,3,27.9,Y
IDCJAC0002,9225,2017,4,27,Y
IDCJAC0002,9225,2017,5,22.7,Y
IDCJAC0002,9225,2017,6,21.4,Y
IDCJAC0002,9225,2017,7,18.4,Y
IDCJAC0002,9225,2017,8,18.7,Y
IDCJAC0002,9225,2017,9,20.7,Y
IDCJAC0002,9225,2017,10,23.1,Y
IDCJAC0002,9225,2017,11,29.3,Y
IDCJAC0002,9225,2017,12,29.7,Y
IDCJAC0002,9225,2018,1,30.8,Y
IDCJAC0002,9225,2018,2,29.9,Y
IDCJAC0002,9225,2018,3,29.8,Y
IDCJAC0002,9225,2018,4,26.1,Y
IDCJAC0002,9225,2018,5,23.9,Y
IDCJAC0002,9225,2018,6,19.2,Y
IDCJAC0002,9225,2018,7,19.2,Y
IDCJAC0002,9225,2018,8,18.4,Y
IDCJAC0002,9225,2018,9,20.5,Y
IDCJAC0002,9225,2018,10,23.5,Y
IDCJAC0002,9225,2018,11,25.2,Y
IDCJAC0002,9225,2018,12,29.6,Y
IDCJAC0002,9225,2019,1,30.5,Y
IDCJAC0002,9225,2019,2,31.3,Y
IDCJAC0002,9225,2019,3,30.1,Y
IDCJAC0002,9225,2019,4,25.6,Y
IDCJAC0002,9225,2019,5,22.2,Y
IDCJAC0002,9225,2019,6,19.8,Y
IDCJAC0002,9225,2019,7,19.3,Y
IDCJAC0002,9225,2019,8,20.2,Y
IDCJAC0002,9225,2019,9,22.9,Y
IDCJAC0002,9225,2019,10,24,Y
IDCJAC0002,9225,2019,11,29.1,Y
IDCJAC0002,9225,2019,12,33.1,Y
IDCJAC0002,9225,2020,1,30.5,Y
IDCJAC0002,9225,2020,2,32.3,Y
IDCJAC0002,9225,2020,3,29.7,Y
IDCJAC0002,9225,2020,4,26.4,Y
IDCJAC0002,9225,2020,5,22,Y
IDCJAC0002,9225,2020,6,21.2,Y
IDCJAC0002,9225,2020,7,19.4,Y
IDCJAC0002,9225,2020,8,19.1,Y
IDCJAC0002,9225,2020,9,21.6,Y
IDCJAC0002,9225,2020,10,25.3,Y
IDCJAC0002,9225,2020,11,24.7,Y
IDCJAC0002,9225,2020,12,31.7,Y
IDCJAC0002,9225,2021,1,32.9,Y
IDCJAC0002,9225,2021,2,30.1,Y
IDCJAC0002,9225,2021,3,29.9,Y
IDCJAC0002,9225,2021,4,27.1,Y
IDCJAC0002,9225,2021,5,22.2,Y
IDCJAC0002,9225,2021,6,18.7,Y
IDCJAC0002,9225,2021,7,18.3,Y
IDCJAC0002,9225,2021,8,19.6,Y
IDCJAC0002,9225,2021,9,21.5,Y
IDCJAC0002,9225,2021,10,21.5,Y
IDCJAC0002,9225,2021,11,26.1,Y
IDCJAC0002,9225,2021,12,31.7,Y
IDCJAC0002,9225,2022,1,33.7,Y
IDCJAC0002,9225,2022,2,34.5,Y
IDCJAC0002,9225,2022,3,30.2,Y
IDCJAC0002,9225,2022,4,25.9,Y
IDCJAC0002,9225,2022,5,22.2,Y
IDCJAC0002,9225,2022,6,19.9,Y
IDCJAC0002,9225,2022,7,19,Y
IDCJAC0002,9225,2022,8,18.6,Y
IDCJAC0002,9225,2022,9,21.1,Y
IDCJAC0002,9225,2022,10,22.1,Y
IDCJAC0002,9225,2022,11,25.5,Y
IDCJAC0002,9225,2022,12,29.7,Y
IDCJAC0002,9225,2023,1,32.4,Y
IDCJAC0002,9225,2023,2,32,Y
IDCJAC0002,9225,2023,3,29.8,Y
IDCJAC0002,9225,2023,4,23.7,Y
IDCJAC0002,9225,2023,5,22.4,Y
IDCJAC0002,9225,2023,6,17.4,Y
IDCJAC0002,9225,2023,7,18.6,Y
IDCJAC0002,9225,2023,8,20.4,Y
IDCJAC0002,9225,2023,9,22.3,Y
IDCJAC0002,9225,2023,10,26.2,Y
IDCJAC0002,9225,2023,11,30.3,Y
IDCJAC0002,9225,2023,12,31,Y
IDCJAC0002,9225,2024,1,32.1,Y
IDCJAC0002,9225,2024,2,34.6,Y
IDCJAC0002,9225,2024,3,30.2,Y
IDCJAC0002,9225,2024,4,28.2,Y
IDCJAC0002,9225,2024,5,24.9,Y
IDCJAC0002,9225,2024,6,20.3,Y
